Día;Fecha;Inicio solicitud;Fin solicitud;Cuadrillas;N°;Identificador;Caso;Tipo;Tipo de faena;Sector afectado;Dirección de referencia;Objeto de referencia;Jerarquía de red;Tipo de contexto;ID del contexto;Descripción del trabajo;Resultado;Área solicitante;Solicitante;Área de cobertura;Clientes afectados;Inicio planificado;Fin planificado;Duración planificada;Duración de tareas programadas;Tiempo excedido;Inicio corte real;Fin corte real;Duración corte real;Observaciones;Estado;Circuito de aprobación;Comentarios de cierre
JUEVES;2023-04-06;08:00:00;15:00:00;;814;PI-2023-01210;1018732;Permiso de trabajo en AT;Mantenimiento Preventivo;;139 Y 90;094-B-IN-572;;Plan de Mantenimiento;SEMANA 14-2023;PODA F/S L.572;Cancelada;Transmisión;Jose Molteni;Los Hornos;0;;;;;;;;;mapro;cerrada, cancelada (Error de Operador);Fuera de plazo;
JUEVES;2023-04-06;08:00:00;15:00:00;;815;PI-2023-01121;1016332;Permiso de trabajo en MT;Mantenimiento Correctivo;501 bis a 505 // 132 a 133;501 Y 133;172186;19006 [190 LA PLATA];COD;I0022341;Cambio de Transformador ;Cancelada;Redes Subterráneas;luis talesco;José Hernández;0;;;;00:02:00;;;;;;cerrada, cancelada (Cancelado por Encargado de Trabajo);Circuito de aprobación normal;
JUEVES;2023-04-06;08:00:00;16:00:00;;816;PI-2023-01209;1018733;Permiso de trabajo en AT;Mantenimiento Preventivo;;139 Y 90;094-B-IN-572;;Plan de Mantenimiento;Semana 14_2023;MANT. SECC B11a1+ B11a6+B11a7+B01A1+MANT INT 13,2 (S.E SUR 094);Cancelada;Transmisión;Jose Molteni;Los Hornos;0;;;;;;;;;mapro;cerrada, cancelada (Error de Operador);Fuera de plazo;
JUEVES;2023-04-06;08:30:00;14:15:00;;817;PI-2023-01219;;Permiso de trabajo en AT;Mantenimiento Preventivo;-;139 Y 90;094 SUR;;Plan de Mantenimiento;Semana 14;Ensayos sobre interrutor secundario;Normal;Transmisión;Maximiliano Yordaz;;;;;;;;;;;;abierta, en definición (rechazada);Fuera de plazo;
JUEVES;2023-04-06;08:45:00;14:15:00;;818;PI-2023-01218;;Permiso de trabajo en AT;Mantenimiento Preventivo;-;139 Y 90;094 SUR;;Plan de Mantenimiento;Semana 14;Ensayos sobre tr y sus protecciones;Normal;Transmisión;Maximiliano Yordaz;;;;;;;;;;;;abierta, en definición (rechazada);Fuera de plazo;
JUEVES;2023-04-06;09:00:00;16:00:00;;819;PI-2023-01156;1018142;Permiso de trabajo en MT;Mantenimiento Preventivo;131 HASTA 141 Y DESDE 520 HASTA 510;511 entre Avenida 31 y 132 (José Hernández);511y31 SUR;19014 [190 LA PLATA];Plan de Mantenimiento;T0000298/299/300;CAMBIO DE 3 POSTES DE MADERA POR COLUMNAS DE H.A.;Normal;Redes Aéreas;gabriel martins;Altos de San Lorenzo,Berisso,Ensenada,José Hernández,La Plata,Lisandro Olmos,Villa Elvira;17600;;;;;;08:14:16;17:30:50;24 days 09:16:34;POSTES ROTOS;cerrada (hecha);Circuito de aprobación normal;
VIERNES;2023-04-07;00:00:00;08:00:00;;820;PI-2023-01191;1018406;Permiso de trabajo en MT;Mantenimiento Preventivo;de 16 a 19 y  de 49 a 51;18 Y 50;170016;09505 [095 PAZ];COD;M-018620;Montaje de segundo ct 100kV, partir tablero de BT, reponer tierras faltantes de tablero BT;Normal;Redes Subterráneas;mariano blanco;La Plata;1104;00:55:24;05:52:22;04:56:58;08:05:00;00:00:00;00:55:24;00:58:14;00:02:50;PIFS;cerrada (hecha);Fuera de plazo;
VIERNES;2023-04-07;07:30:00;17:00:00;;821;PI-2023-01247;1018984;Permiso de trabajo en AT;Mantenimiento Correctivo;;Cno. Vergara y 130;096-B-IN-TR1;;Plan de Mantenimiento;Sem 14;Cambio de proteccion Dif TR1 SE DIQUE;Cancelada;Transmisión;fernando nellen;Ensenada;0;;;;04:00:00;;;;;mapro;cerrada, cancelada (Error de Operador);Fuera de plazo;mapro
VIERNES;2023-04-07;07:30:00;17:00:00;;822;PI-2023-01248;1018983;Permiso de trabajo en AT;Mantenimiento Correctivo;;Cno. Vergara y 130;096-B-IN-TR4;;Plan de Mantenimiento;Sem 14;Cambio de proteccion TR4 SE DIQUE;Cancelada;Transmisión;fernando nellen;Ensenada;0;;;;04:00:00;;;;;mapro;cerrada, cancelada (Error de Operador);Fuera de plazo;
VIERNES;2023-04-07;08:00:00;15:00:00;;823;PI-2023-01252;1019050;Permiso de trabajo en MT;Mantenimiento Correctivo;desde 46 a 90 y desde 173 a 205 y adyacencias.-;055-09 y 177 (Los Hornos);66y177;19009 [190 LA PLATA];Plan de Mantenimiento;T0005340;Poda preventiva programada sobre traza de alimentador 19009;Normal;Redes Aéreas;lucrecia heit;Los Hornos;1552;14:11:37;14:40:34;00:28:57;04:20:00;02:20:34.906;08:49:58;14:39:37;05:49:38;h;cerrada (hecha);Fuera de plazo;
VIERNES;2023-04-07;08:00:00;15:00:00;;824;PI-2023-01246;;Permiso de trabajo en MT;Mantenimiento Correctivo;Calle 66 desde 185 a 187 y adyacencias.-;055-09 y 185 (Los Hornos);TMT30017297;19009 [190 LA PLATA];Plan de Mantenimiento;T0005340;Poda preventiva programada sobre traza de alimentador 19011;Normal;Redes Aéreas;lucrecia heit;;;;;;;;;;;;abierta, en definición (rechazada);Fuera de plazo;
VIERNES;2023-04-07;09:00:00;16:00:00;;825;PI-2023-01155;;Permiso de trabajo en MT;Mantenimiento Preventivo;131 HASTA 141 Y DESDE 520 HASTA 510;511 entre Avenida 31 y 132 (José Hernández);511y31 SUR;19014 [190 LA PLATA];Plan de Mantenimiento;T0000298/299/300;CAMBIO DE 3 POSTES DE MADERA POR COLUMNAS DE H.A.;Cancelada;Redes Aéreas;gabriel martins;;;;;;;;;;;;cerrada, cancelada (Error de Operador);Circuito de aprobación normal;
VIERNES;2023-04-07;09:00:00;16:00:00;;826;PI-2023-01093;1018152;Permiso de trabajo en MT;Obra nueva instalacion;de 122 a 2 y de 605 a 611 aprox.;609 y 117;172953;Salida 4 [170300] / 09650 [096 DIQUE];Ingeniería y Obras;117146;Armado de pata soporte y colocacion de dados para futura repotenciacion de CT 172953;Normal;Planificación;Jose Penica;Villa Elvira;511;14:29:14;14:29:46;00:00:32;08:35:00;00:00:00;08:25:29;14:29:14;06:03:44;programado;cerrada (hecha);Circuito de aprobación normal;
SáBADO;2023-04-08;07:30:00;17:00:00;OP-Guardia AT La Plata;827;PI-2023-01249;1019188;Permiso de trabajo en AT;Mantenimiento Preventivo;;58 E/ 21 y 22;095-B-SE-TR1;;Plan de Mantenimiento;Sem 14;Ensayo TR1 SE PAZ;Normal;Transmisión;fernando nellen;La Plata;0;;;;00:05:00;;;;;mapro tr 1 ;cerrada (hecha);Fuera de plazo;
SáBADO;2023-04-08;08:00:00;16:00:00;OP-Guardia AT La Plata;828;PI-2023-01222;1019187;Permiso de trabajo en AT;Mantenimiento Preventivo;;58 entre 23 y 22 (La Plata);095-TR1;;Plan de Mantenimiento;Semana 14;SE Paz TR N°1: Mant. Trafo, RBC, Int. 13,2 kV, cambio medidor de Temperatura, cambio de silicagel;Cancelada;Transmisión;victor faes;La Plata;0;;;;00:05:00;;14:51:45;15:33:42;00:41:57;mapro tr 1 de paz;cerrada, cancelada (Error de Operador);Fuera de plazo;.
SáBADO;2023-04-08;08:00:00;18:00:00;;829;PI-2023-01192;1018792;Corte solicitado por usuario;Trabajo solicitado por usuario;;47 E/8 Y 9 -TELEFONICA-;170505T1S1 [170505];[170505] / 09818 [098 TOLOSA];Solicitud Usuario;Ver nota adjunta;Ver nota adjunta;Normal;Comercial;Fernando Cabrera;La Plata;0;;;;;;;;;ry7;cerrada (hecha);Circuito de aprobación normal;
SáBADO;2023-04-08;09:00:00;13:34:55;;830;PI-2023-01214;1018787;Permiso de trabajo en MT;Mantenimiento Preventivo;60 HASTA 68 Y DESDE 131 HASTA 134;62 e/131 y 132;172090;09507 [095 PAZ];Plan de Mantenimiento;1038561/2/4/5/6/8/9;CAMBIO DE 6 POSTES DE MADERA POR COLUMNA;Normal;Redes Aéreas;gabriel martins;Los Hornos;2;08:11:17;14:40:54;06:29:37;08:15:00;00:00:00;08:01:44;14:40:13;06:38:29;j;cerrada (hecha);Fuera de plazo;
SáBADO;2023-04-08;09:00:00;17:00:00;;831;PI-2023-01153;;Permiso de trabajo en MT;Mantenimiento Preventivo;131 DE 66 HASTA 60;055-10 entre 055-09 y Avenida 66 (Los Hornos);131y66 172090 y 172047;09507 [095 PAZ];Plan de Mantenimiento;1038561/2/4/5/6/7/8/9;CAMBIO DE 6 POSTES DE MADERA POR COLUMNAS DE H.A.;Normal;Redes Aéreas;gabriel martins;;;;;;;;;;;;abierta, en definición (rechazada);Circuito de aprobación normal;
DOMINGO;2023-04-09;07:30:00;14:15:00;OP-Guardia AT La Plata;832;PI-2023-01250;1019304;Permiso de trabajo en AT;Mantenimiento Preventivo;;528 E 146 y 147;190-B-IN-584;;Plan de Mantenimiento;Sem 14;Prueba de disparo directo L.584;Normal;Transmisión;fernando nellen;San Carlos;0;;;;00:05:00;;;;;mapro;cerrada (hecha);Fuera de plazo;
DOMINGO;2023-04-09;08:00:00;14:00:00;OP-Guardia AT La Plata;833;PI-2023-01268;1019306;Permiso de trabajo en AT;Mantenimiento Preventivo;;528 E 146 y 147;190-B-IN-584;;Plan de Mantenimiento;Semana_14-2023;MANT. DE RUTINA SECC B1 L.584 SE LA PLATA (190);Normal;Transmisión;Jose Molteni;San Carlos;0;;;;00:05:00;;;;;mapro;cerrada (hecha);Fuera de plazo;
DOMINGO;2023-04-09;08:00:00;16:00:00;;834;PI-2023-01273;1019371;Permiso de trabajo en AT;Mantenimiento Preventivo;;ruta 2 y 515 (Abasto);092-TR3;;Plan de Mantenimiento;Semana 14-2023;SE Kaiser TR N| 3: pto caliente en bushing + Mant Secc (punto caliente);Normal;Transmisión;Jose Molteni;Abasto;0;;;;04:00:00;;;;;mapro;cerrada (hecha);Fuera de plazo;
DOMINGO;2023-04-09;08:00:00;16:00:00;OP-Guardia AT La Plata;835;PI-2023-01226;1019307;Permiso de trabajo en AT;Mantenimiento Preventivo;;ruta 2 y 515;190-B-IN-584;;Plan de Mantenimiento;Semana 14;L. 584: Trabajos en la Línea ;Normal;Transmisión;victor faes;San Carlos;0;;;;00:05:00;;;;;mapro;cerrada (hecha);Fuera de plazo;
DOMINGO;2023-04-09;08:00:00;16:00:00;;836;PI-2023-01225;;Permiso de trabajo en AT;Mantenimiento Preventivo;;ruta 2 y 515 (Abasto);092-TR3;;Plan de Mantenimiento;Semana 14;SE Kaiser TR N| 3: Mant. RBC + pto caliente en bushing + Mant Secc (punto caliente);Normal;Transmisión;victor faes;;;;;;;;;;;;abierta, en definición (rechazada);Fuera de plazo;
DOMINGO;2023-04-09;08:00:00;16:00:00;;837;PI-2023-01224;;Permiso de trabajo en AT;Mantenimiento Preventivo;;ruta 2 y 515 (Abasto);092-B-TV-TR1;;Plan de Mantenimiento;Semana 14;SE Kaiser TR N° 1: Mant. RBC + Secc;Normal;Transmisión;victor faes;;;;;;;;;;;;abierta, en definición (rechazada);Fuera de plazo;
DOMINGO;2023-04-09;08:00:00;16:00:00;;838;PI-2023-01223;;Permiso de trabajo en AT;Mantenimiento Preventivo;;ruta 2 y 515 (Abasto);092-B-TV-TR1;;Plan de Mantenimiento;Semana 14;SE Kaiser L. 584: Mant. Descargador + TV ;Normal;Transmisión;victor faes;;;;;;;;;;;;abierta, en definición (rechazada);Fuera de plazo;
DOMINGO;2023-04-09;08:30:00;16:00:00;OP-Guardia AT La Plata;839;PI-2023-01269;1019305;Permiso de trabajo en AT;Mantenimiento Preventivo;;Cno. Vergara y 130;190-B-IN-584;;Plan de Mantenimiento;SEMANA 13 - 2023;MANT.SECC MEDICION B1 + TV  SE LA PLATA (190);Normal;Transmisión;Jose Molteni;San Carlos;0;;;;00:05:00;;;;;mapro;cerrada (hecha);Fuera de plazo;
DOMINGO;2023-04-09;09:00:00;16:00:00;;840;PI-2023-01094;1018148;Permiso de trabajo en MT;Obra nueva instalacion;De 13 a 8 y de 514 a 510 aprox. ;514 Y 12;170692;09823 [098 TOLOSA];Ingeniería y Obras;117048;Remocion de LAMT de 514 de 12 a 9.;Cancelada;Planificación;Jose Penica;Ringuelet;0;;;;08:55:00;;;;;;cerrada, cancelada (Cancelado por Encargado de Trabajo);Circuito de aprobación normal;
LUNES;2023-04-10;07:30:00;14:15:00;OP-Guardia AT La Plata;841;PI-2023-01263;1019435;Permiso de trabajo en AT;Mantenimiento Preventivo;;139 Y 90;094-B-IN-TR1;;Plan de Mantenimiento;Sem 15;Ensayo Int 13.2kV;Normal;Transmisión;fernando nellen;Los Hornos;0;;;;00:05:00;;;;;mapro;cerrada (hecha);Fuera de plazo;
LUNES;2023-04-10;07:30:00;14:15:00;OP-Guardia AT La Plata;842;PI-2023-01264;1019434;Permiso de trabajo en AT;Mantenimiento Correctivo;;139 Y 90;094-B-IN-572;;Plan de Mantenimiento;Sem 15;Desconexion, ensayo, y conexion de TI/TV L.572 SE SUR;Normal;Transmisión;fernando nellen;Los Hornos;0;;;;00:05:00;;;;;mapro;cerrada (hecha);Fuera de plazo;
LUNES;2023-04-10;08:00:00;16:00:00;OP-Guardia AT La Plata;843;PI-2023-01227;1019439;Permiso de trabajo en AT;Mantenimiento Preventivo;;139 Y 90;094-B-IN-572;;Plan de Mantenimiento;Semana 15;SE Sur L. 572: Mant. Interruptor ;Normal;Transmisión;victor faes;Los Hornos;0;;;;00:05:00;;;;;mapro;cerrada (hecha);Fuera de plazo;
LUNES;2023-04-10;08:00:00;16:00:00;OP-Guardia AT La Plata;844;PI-2023-01228;1019437;Permiso de trabajo en AT;Mantenimiento Preventivo;;139 Y 90;094-B-IN-TR1;;Plan de Mantenimiento;Semana 15;SE Sur TR N° 1: Mant. Interruptor ;Normal;Transmisión;victor faes;Los Hornos;0;;;;00:05:00;;;;;mapro;cerrada (hecha);Fuera de plazo;
LUNES;2023-04-10;08:00:00;16:00:00;OP-Guardia AT La Plata;845;PI-2023-01231;1019438;Permiso de trabajo en AT;Mantenimiento Preventivo;;139 Y 90;094-B-IN-572;;Plan de Mantenimiento;Semana 15;L. 572: Trabajos en la Línea;Normal;Transmisión;victor faes;Los Hornos;0;;;;00:05:00;;;;;mapro;cerrada (hecha);Fuera de plazo;
LUNES;2023-04-10;08:00:00;16:00:00;OP-Guardia AT La Plata;846;PI-2023-01230;1019436;Permiso de trabajo en AT;Mantenimiento Preventivo;;139 Y 90 (Los Hornos);094-TR1;;Plan de Mantenimiento;Semana 15;SE Sur TR N° 1: Mant. Trafo + Int. 13,2 kV;Normal;Transmisión;victor faes;Los Hornos;0;;;;00:05:00;;;;;mapro;cerrada (hecha);Fuera de plazo;
LUNES;2023-04-10;15:00:00;17:00:00;;847;PI-2023-01289;1019634;Permiso de trabajo en MT;Mantenimiento Correctivo;;055-10 entre Avenida 66 y 055-09 (Los Hornos);131y66;;Plan de Mantenimiento;11111;Poda por emergencia solicitud OCEBA;Excedida;Redes Aéreas;gabriel belardinelli;Los Hornos;762;15:36:37;18:34:34;02:57:57;02:10:00;01:24:34.609;15:36:37;18:32:42;02:56:05;h;cerrada (hecha);Fuera de plazo;
LUNES;2023-04-10;17:00:00;17:30:00;;848;PI-2023-01295;;Puesta en servicio de instalación MT;Trabajo solicitado por usuario;;PAPELERA SAN JORGE 12 E/ 514 Y 515;SECC.CLIENTE PAP.S.JORGE;09823 [098 TOLOSA];Solicitud Usuario;Ver nota adjunta;Ver nota adjunta;Normal;Comercial;Fernando Cabrera;;;;;;;;;;;;abierta, en definición, suspendida (Suspendido por Encargado de Trabajo);Fuera de plazo;
MARTES;2023-04-11;07:30:00;14:15:00;OP-Guardia AT Dique;849;PI-2023-01266;1019699;Permiso de trabajo en AT;Mantenimiento Preventivo;;Cno. Belgrano y 528;098-E-IN-SIA;[098 TOLOSA];Plan de Mantenimiento;Sem 15;Ensayo Bco. de Baterias UPS SE TOLOSA;Normal;Transmisión;fernando nellen;Tolosa;0;;;;00:05:00;;;;;mapro;cerrada (hecha);Fuera de plazo;
MARTES;2023-04-11;08:00:00;14:00:00;;850;PI-2023-01234;;Permiso de trabajo en AT;Mantenimiento Preventivo;;Cno. Belgrano y 528;098-B-IN-598;;Plan de Mantenimiento;Semana 15;SE Tolosa C. 598: Revisión presión SF6 Polo Fase S, Secc Terminal reemplazo contactor de cierre;Normal;Transmisión;victor faes;;;;;;;;;;;;abierta, en definición (rechazada);Circuito de aprobación normal;
MARTES;2023-04-11;08:00:00;16:00:00;OP-Guardia AT La Plata;851;PI-2023-01296;1019725;Permiso de trabajo en AT;Mantenimiento Preventivo;;139 Y 90;094-B-IN-571;;Plan de Mantenimiento;Semana 15;SE Sur L. 571: Mant. Interruptor ;Normal;Transmisión;victor faes;Los Hornos;2146;;;;00:05:00;;08:04:03;15:11:11;07:07:08;mapro;cerrada (hecha);Fuera de plazo;
MARTES;2023-04-11;08:00:00;16:00:00;;852;PI-2023-01233;;Permiso de trabajo en AT;Mantenimiento Preventivo;;139 Y 90;190-B-IN-571;;Plan de Mantenimiento;Semana 15;L. 571: Tareas en la Línea;Normal;Transmisión;victor faes;;;;;;;;;;;;abierta, en definición (rechazada);Circuito de aprobación normal;
MARTES;2023-04-11;08:00:00;16:00:00;;853;PI-2023-01232;;Permiso de trabajo en AT;Mantenimiento Preventivo;;139 Y 90;094-B-IN-571;;Plan de Mantenimiento;Semana 15;SE Sur L. 571: Mant. Interruptor ;Normal;Transmisión;victor faes;;;;;;;;;;;;abierta, en definición (rechazada);Circuito de aprobación normal;
MARTES;2023-04-11;08:00:00;17:00:00;GUARDIA ZONAL 1;854;PI-2023-01215;1018142;Permiso de trabajo en MT;Mantenimiento Preventivo;de calle montevideo a 166 y de 14 a 17 ;15 entre 166 y 165 (Berisso);TMT30015290;09608 [096 DIQUE];Plan de Mantenimiento;M-017435 ;cambio de postes de madera por hormigon retencion 14 R2700 se solicita por emergencia dado que el poste del ct esta muy podrido ;Normal;Redes Aéreas;Javier Arias;Altos de San Lorenzo,Berisso,Ensenada,José Hernández,La Plata,Lisandro Olmos,Villa Elvira;17600;17:36:36;17:50:48;00:14:12;09:10:00;00:40:48.214;08:14:16;17:30:50;24 days 09:16:34;POSTES ROTOS;cerrada (hecha);Fuera de plazo;
MARTES;2023-04-11;08:00:00;17:00:00;OP-Guardia AT Magdalena;855;PI-2023-01291;1019700;Corte solicitado por tercero;Mantenimiento Estacional Transportista;;Rta. 36 y Acc. Ver?n;195-B-IN-06;;Solicitud Terceros;11042023;consignación L.6 a pedido de Transba;Normal;Transmisión;david borio;Verónica;0;;;;00:05:00;;;;;mapro;cerrada (hecha);Fuera de plazo;
MARTES;2023-04-11;10:00:00;13:15:00;;856;PI-2023-01299;;Trabajo en proximidad de instalaciones energizadas;Trabajo solicitado por usuario;NO AFECTA SUMINISTRO;CD.PAZ-59 E/13 Y 14;080 CENTRO PAZ;09504 [080 CENTRO PAZ] / 09504 [095 PAZ];Solicitud Usuario;USO INTERNO;COLCACION DE CAMARAS DE VIDEO / SEGURIDAD;Normal;Redes Subterráneas;Hernan Vior;;;;;;;;;;;;abierta, en definición, suspendida (Suspendido por Encargado de Trabajo);Fuera de plazo;
MARTES;2023-04-11;10:15:00;16:00:00;;857;PI-2023-01300;;Permiso de trabajo en MT;Mantenimiento Preventivo;;60 e/2 y 3;172220;09320 [093 ROCHA];Solicitud Usuario;MANTENIMIENTO DE CT;COLOCACION DE BOMBA DE DESAGOTE;Normal;Redes Subterráneas;Hernan Vior;;;;;;;;;;;;abierta, en definición, suspendida (Suspendido por Encargado de Trabajo);Fuera de plazo;
MARTES;2023-04-11;13:00:00;18:00:00;;858;PI-2023-01309;1022294;Corte solicitado por tercero;Trabajo solicitado por tercero;;Cno. Vergara y 130;096-E-IN-G1;;Solicitud Terceros;1;migración de señales y acometida de TG2 desde la celda E28 (TG2) a E14(TG1), en Sala de 13.2kV de SE Dique.;Cancelada;Transmisión;gustavo vazquez;Ensenada;0;;;;00:02:00;;;;;;cerrada, cancelada (Cancelado por Encargado de Trabajo);Fuera de plazo;Limpieza bandeja, pedidos ya vencidos
MARTES;2023-04-11;14:00:00;17:00:00;;859;PI-2023-01235;;Trabajo en proximidad de instalaciones energizadas;Mantenimiento Preventivo;;465 entre RP1 y 23 (City Bell);099-TR2;;Plan de Mantenimiento;Semana 15;SE City Bell TR N° 2: Independizar circuitos de regulación y ventilación ;Normal;Transmisión;victor faes;;;;;;;;;;;;abierta, en definición (rechazada);Circuito de aprobación normal;
MIéRCOLES;2023-04-12;07:00:00;14:00:00;OP-Guardia AT La Plata;860;PI-2023-01311;1019964;Permiso de trabajo en AT;Mantenimiento Preventivo;-;139 Y 90;094 SUR;;Plan de Mantenimiento;Semana 15;Conexion y ensayo de tranformador de corriente;Normal;Transmisión;Maximiliano Yordaz;Los Hornos;0;;;;00:05:00;;;;;mapro;cerrada (hecha);Fuera de plazo;
MIéRCOLES;2023-04-12;07:30:00;13:30:00;;861;PI-2023-01193;;Permiso de trabajo en BT;Mantenimiento Preventivo;Cuadrado formado por Calles Dr pepe a San Julian y Calles Av Mitre y a gral paz;2 E/10 Y 11;220101;29301 [293 BAVIO];Plan de Mantenimiento;I0025343  -  M-18484;Cambio de Poste de Bt C/ peligro;Cancelada;Magdalena;pablo baccarini;;;;;;;;;;;;cerrada, cancelada (Error de Operador);Circuito de aprobación normal;
MIéRCOLES;2023-04-12;08:00:00;10:00:00;;862;PI-2023-01318;;Trabajo en proximidad de instalaciones energizadas;Mantenimiento Preventivo;;Ruta 11 y 601;EST_B12A5ST;;Plan de Mantenimiento;Semana 15;SE ESTE L. 600: medición pureza gas SF6 de Interruptor;Normal;Transmisión;victor faes;;;;;;;;;;;;abierta, en definición, suspendida (Suspendido por Encargado de Trabajo);Fuera de plazo;
MIéRCOLES;2023-04-12;08:00:00;14:00:00;;863;PI-2023-01237;;Permiso de trabajo en AT;Mantenimiento Preventivo;;Ruta 11 y 601;199-B-IN-572;;Plan de Mantenimiento;Semana 15;SE Este L. 572: Mant. Interruptor;Normal;Transmisión;victor faes;;;;;;;;;;;;abierta, en definición (rechazada);Circuito de aprobación normal;
MIéRCOLES;2023-04-12;08:00:00;14:00:00;OP-Guardia AT Dique;864;PI-2023-01316;1019961;Permiso de trabajo en AT;Mantenimiento Preventivo;;Ruta 11 y 601;199-B-IN-572;;Plan de Mantenimiento;Semana 15;SE Este L. 572: Mant. Interruptor;Normal;Transmisión;Daniel Perez;Villa Elvira;0;;;;00:05:00;;;;;mapro;cerrada (hecha);Fuera de plazo;
MIéRCOLES;2023-04-12;08:00:00;14:00:00;OP-Guardia AT Dique;865;PI-2023-01313;1019965;Permiso de trabajo en AT;Mantenimiento Correctivo;;43 y 128 (Ensenada);096-B-B1;;Plan de Mantenimiento;Semana 15;SE Dique Barr 1 132 kV: Punto caliente vano 575/595;Normal;Transmisión;Daniel Perez;Ensenada;0;;;;00:05:00;;;;;mapro;cerrada (hecha);Fuera de plazo;
MIéRCOLES;2023-04-12;08:00:00;14:00:00;OP-Guardia AT Dique;866;PI-2023-01310;1019967;Permiso de trabajo en AT;Mantenimiento Preventivo;-;Cno. Vergara y 130;096 DIQUE;;Plan de Mantenimiento;Semana 15;Ensayos en interruptor;Normal;Transmisión;Maximiliano Yordaz;Ensenada;0;;;;00:05:00;;;;;no realizado;cerrada (hecha);Fuera de plazo;
MIéRCOLES;2023-04-12;08:00:00;14:00:00;;867;PI-2023-01239;;Permiso de trabajo en AT;Mantenimiento Correctivo;;43 y 128 (Ensenada);096-B-B1;;Plan de Mantenimiento;Semana 15;SE Dique Barr 1 132 kV: Punto caliente vano 575/595;Normal;Transmisión;victor faes;;;;;;;;;;;;abierta, en definición (rechazada);Circuito de aprobación normal;
MIéRCOLES;2023-04-12;08:00:00;16:00:00;;868;PI-2023-01236;;Permiso de trabajo en AT;Mantenimiento Preventivo;;139 Y 90 (Los Hornos);094-B-TI/TV-572;;Plan de Mantenimiento;Semana 15;SE Sur L. 572: Reemplazo placas primarias TI/TV;Normal;Transmisión;victor faes;;;;;;;;;;;;abierta, en definición (rechazada);Circuito de aprobación normal;
MIéRCOLES;2023-04-12;08:00:00;16:00:00;;869;PI-2023-01238;;Permiso de trabajo en AT;Mantenimiento Preventivo;;139 Y 90;094-B-IN-572;;Plan de Mantenimiento;Semana 15;L. 572: Trabajos en la Línea;Normal;Transmisión;victor faes;;;;;;;;;;;;abierta, en definición (rechazada);Circuito de aprobación normal;
MIéRCOLES;2023-04-12;08:00:00;16:00:00;OP-Guardia AT La Plata;870;PI-2023-01312;1019962;Permiso de trabajo en AT;Mantenimiento Preventivo;;139 Y 90 (Los Hornos);094-B-TI/TV-572;;Plan de Mantenimiento;Semana 15;SE Sur L. 572: Reemplazo placas primarias TI/TV;Normal;Transmisión;Daniel Perez;Los Hornos;0;;;;00:05:00;;;;;mapro;cerrada (hecha);Fuera de plazo;
MIéRCOLES;2023-04-12;08:00:00;16:00:00;OP-Guardia AT La Plata;871;PI-2023-01317;1019966;Permiso de trabajo en AT;Mantenimiento Preventivo;;139 Y 90;094-B-IN-572;;Plan de Mantenimiento;Semana 15;L. 572: Trabajos en la Línea;Cancelada;Transmisión;Daniel Perez;Los Hornos;0;;;;00:05:00;;;;;;cerrada, cancelada (Cancelado por Encargado de Trabajo);Fuera de plazo;
MIéRCOLES;2023-04-12;08:00:00;16:00:00;;872;PI-2023-01241;;Permiso de trabajo en AT;Mantenimiento Preventivo;;Cno. Vergara y 130;096-B-SE-575-1;;Plan de Mantenimiento;Semana 15;SE dique C. 575: Mant. Secc B1;Normal;Transmisión;victor faes;;;;;;;;;;;;abierta, en definición (rechazada);Circuito de aprobación normal;
MIéRCOLES;2023-04-12;08:00:00;16:00:00;;873;PI-2023-01240;;Permiso de trabajo en AT;Mantenimiento Preventivo;;Cno. Vergara y 130;096-B-IN-575;;Plan de Mantenimiento;Semana 15;SE dique C. 575: Mant. Secc B2, Interruptor, Secc Terminal, TI/TV. ;Normal;Transmisión;victor faes;;;;;;;;;;;;abierta, en definición (rechazada);Circuito de aprobación normal;
MIéRCOLES;2023-04-12;08:00:00;16:00:00;OP-Guardia AT Dique;874;PI-2023-01315;1019968;Permiso de trabajo en AT;Mantenimiento Preventivo;;Cno. Vergara y 130;096-B-IN-575;;Plan de Mantenimiento;Semana 15;SE dique C. 575: Mant. Secc B2, Interruptor, Secc Terminal, TI/TV. ;Normal;Transmisión;Daniel Perez;Ensenada;0;;;;00:05:00;;;;;mapro;cerrada (hecha);Fuera de plazo;
MIéRCOLES;2023-04-12;08:00:00;16:00:00;OP-Guardia AT Dique;875;PI-2023-01314;1019963;Permiso de trabajo en AT;Mantenimiento Preventivo;;Cno. Vergara y 130;096-B-SE-575-1;;Plan de Mantenimiento;Semana 15;SE dique C. 575: Mant. Secc B1;Normal;Transmisión;Daniel Perez;Ensenada;0;;;;00:05:00;;;;;mapro;cerrada (hecha);Fuera de plazo;
MIéRCOLES;2023-04-12;08:00:00;17:00:00;OP-Guardia AT Magdalena;876;PI-2023-01290;1019913;Corte solicitado por tercero;Mantenimiento Estacional Transportista;;Rta. 36 y Acc. Ver?n;195-B-IN-06;;Solicitud Terceros;11042023;consignación L.6 a pedido de Transba;Normal;Transmisión;david borio;Verónica;0;;;;00:05:00;;;;;mapro TRANSBA;cerrada (hecha);Fuera de plazo;
